portafolio,año,mes,día,fondo,compra/-venta
accionescolombia,2017,3,31,PV Strategist Liquidez Col,10002.64574
accionescolombia,2017,3,31,PV Liquidez USA,-13711.60583
accionescolombia,2017,3,31,PV Acciones Europa,3526.932162
accionescolombia,2017,3,31,PV Liquidez USA,-4570.545391
accionescolombia,2017,3,31,PV Strategist Liquidez Col,4504.907422
accionescolombia,2016,9,2,PV Strategist Acciones Col,-7411.636754
accionescolombia,2016,9,2,PV Acciones Bancolombia,1166.685718
accionescolombia,2016,8,30,PV Acciones Ecopetrol,-16697.39677
accionescolombia,2016,8,30,PV Liquidez USA,18282.15163
accionescolombia,2016,8,30,PV Strategist Liquidez Col,-14257.68267
accionescolombia,2016,5,16,PV Strategist Liquidez Col,3283.127179
accionescolombia,2016,5,16,PV Acciones Isagen,-1376.977336
accionescolombia,2016,3,15,PV Strategist Liquidez Col,20621.49254
accionescolombia,2016,4,1,PV Strategist Acciones Col,-3025.01514
accionescolombia,2016,4,1,PV Acciones Isagen,1376.977336